	Parse(seg)	Hd(F)	*Insert(syll)	Onset	*Copy(syll)	*NonHeadVowel	Hd(mu)	*FinalLongVowel	Max(mu)	NoLink(mu)	*HighMid	*NonHighVowel-red	Ident(high)	NoCoda	*VwV	*ji/wu	Max	Ident(son)
{tableau vi 1}a	W	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
{tableau vi 1}b	W	L	W	W	e	e	e	e	e	e	e	e	e	e	e	e	e	e
{tableau vi 1}d	W	e	e	W	e	e	e	e	e	e	e	e	e	e	e	e	e	e
{tableau vi 2}a	W	e	e	e	e	L	e	e	e	e	e	e	e	e	e	e	e	e
{tableau vi 2}b	W	L	W	W	e	L	e	e	e	e	e	e	e	e	e	e	e	e
{tableau vi 2}c	W	L	e	e	W	L	e	e	e	e	e	e	e	e	e	e	e	e
{tableau vi 2}e	e	e	e	W	e	L	e	e	e	e	e	e	e	e	e	e	e	e
{tableau vi 3}a	e	W	e	e	L	L	e	e	e	e	L	L	e	e	e	e	e	e
{tableau vi 3}c	e	e	W	W	L	L	e	e	e	e	L	L	e	e	e	e	e	e
{tableau vi 3}d	e	W	e	e	L	L	W	e	e	e	L	L	e	e	e	e	e	e
{tableau vi 3}e	e	W	e	e	L	L	W	e	e	e	L	L	e	W	e	e	e	e
{tableau vi 4}a	e	e	e	e	e	W	L	e	e	e	W	W	e	L	e	e	e	e
{tableau vi 4}b	e	e	e	e	e	e	e	e	e	e	e	W	e	L	e	e	e	e
{tableau vi 4}d	e	e	e	e	e	e	e	e	e	e	e	W	e	L	e	e	e	e
{tableau vi 4}e	e	e	e	e	e	e	e	e	e	e	e	W	e	e	e	e	e	e
{tableau vi 4}f	e	e	e	e	e	W	L	e	e	e	e	e	W	L	e	e	e	e
{tableau vi 5}a	e	e	e	e	e	W	L	e	e	e	W	e	e	e	e	e	e	e
{tableau vi 5}c	e	e	e	e	e	e	e	e	e	e	e	e	e	W	e	e	e	e
{tableau vi 5}d	e	e	e	e	e	W	L	e	e	W	W	e	e	e	e	e	e	e
{tableau vi 5}e	e	e	e	e	e	W	L	e	W	e	W	e	e	e	e	e	e	e
{tableau vi 5}f	e	e	e	e	e	W	L	e	e	e	W	e	e	L	e	e	W	e
{tableau vi 6}a	e	e	e	e	e	e	W	e	e	L	e	e	e	e	e	e	e	e
{tableau vi 6}c	e	e	e	e	e	e	e	e	W	L	e	e	e	e	e	e	e	e
{tableau vi 6}d	e	e	e	e	e	e	e	W	e	e	e	e	e	e	e	e	e	e
{tableau vi 6}e	e	e	e	e	e	e	e	e	W	L	e	e	e	e	e	e	e	e
{tableau vi 6}f	e	e	e	e	e	e	W	e	e	L	e	e	e	L	e	e	W	e
{tableau vi 7}a	e	e	e	e	e	e	W	e	L	e	e	e	e	e	e	e	e	e
{tableau vi 7}b	e	e	e	e	e	e	e	W	L	W	e	e	e	e	e	e	e	e
{tableau vi 7}d	e	e	e	e	e	e	W	e	L	e	e	e	e	L	e	e	W	e
{tableau o 5}a	e	e	e	e	e	e	W	e	L	e	e	e	e	e	e	e	e	e
{tableau o 5}b	e	e	e	e	e	e	e	W	L	W	e	e	e	e	e	e	e	e
{tableau o 5}d	e	e	e	e	e	e	W	e	L	e	W	L	W	e	e	W	e	e
{tableau o 5}e	e	e	e	e	e	e	W	e	L	e	e	e	e	e	L	e	e	W
{tableau o 5}f	e	e	e	W	e	e	W	e	L	e	e	e	e	e	L	e	W	e
{tableau o 6}a	e	e	e	e	e	e	e	e	e	e	e	e	e	e	W	e	e	L
{tableau o 6}b	e	e	e	e	e	e	e	e	e	e	W	L	W	e	W	W	e	L
{tableau o 6}d	e	e	e	W	e	e	e	e	e	e	e	e	e	e	e	e	W	L
{tableau o 7}b	e	e	e	e	e	e	e	e	e	e	W	L	W	e	e	W	e	e
{tableau vwe 5}a	e	e	e	e	e	e	W	e	L	e	e	e	e	e	e	e	e	e
{tableau vwe 5}b	e	e	e	e	e	e	e	W	L	W	e	e	e	e	e	e	e	e
{tableau vwe 5}d	e	e	e	e	e	e	W	e	L	e	e	L	W	e	e	e	e	e
{tableau vwe 6}a	e	e	e	e	e	e	e	e	e	e	e	W	L	e	e	e	e	e
{tableau vi 8}a	e	e	e	e	e	e	e	e	e	e	e	e	e	W	e	e	L	e
{tableau vo 6}a	e	e	e	e	e	e	e	e	e	e	e	W	L	e	e	L	e	e
{tableau vo 7}a	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	W	L	e
{tableau maragoli nonderived}b	e	e	e	e	e	e	W	L	e	e	e	e	e	e	e	e	e	e
