	Hd(F)	*Copy(sig)-II	Hd(sig)	*Copy(sig)	Max(V-feature)-I	Hd(mu)-Max	*Schwa	*OralCoda	Hd(mu)	*LongVowel	Max(mu)	*Copy(seg)	FtBin	CodaCond	HavePlace	NoLink(pl)	Max(pl)	*Copy-Loc(seg)	Max	Max(V-feature)	*mid/low	*high
{tableau kab 1}a	W	e	e	L	e	e	e	L	e	e	e	e	W	L	e	e	e	e	e	e	L	e
{tableau kab 1}b	e	e	W	L	e	e	e	L	e	e	e	e	W	L	e	e	e	e	e	e	L	e
{tableau kab 2}a	e	e	e	e	e	e	e	e	e	e	e	e	e	W	L	e	L	e	e	e	e	e
{tableau kab 2}c	e	e	e	e	W	e	W	e	e	e	e	e	e	W	L	e	L	e	e	W	L	e
{tableau kab 3}a	e	e	e	e	e	e	e	W	L	e	e	e	e	e	W	e	e	e	L	e	e	e
{tableau kab 3}c	e	e	e	e	e	e	e	W	L	e	e	e	e	e	e	W	e	e	L	e	e	e
{tableau kab 3}d	e	e	e	e	W	e	W	W	L	e	e	e	e	e	W	e	e	e	L	W	L	e
{tableau kab 4}a	e	e	e	e	e	e	e	e	W	e	L	e	L	e	e	e	e	e	e	e	e	e
{tableau kab 4}b	e	e	e	e	e	e	e	e	e	W	L	e	L	e	e	e	e	e	e	e	e	e
{tableau kab 4}c	e	e	e	e	e	e	e	W	e	e	L	W	L	W	e	e	e	e	e	e	e	e
{tableau kab 4}d	e	e	e	e	e	e	e	e	e	e	L	W	L	e	e	e	e	e	e	e	W	e
{tableau kab 4}f	e	e	e	e	W	e	W	e	W	e	L	e	L	e	e	e	e	e	e	W	L	e
{tableau kab 5}b	e	e	W	e	e	e	e	e	e	e	e	e	L	e	e	e	e	e	e	e	e	e
{tableau kab 5}c	e	e	e	W	e	e	e	e	e	e	e	e	L	e	e	e	e	e	e	e	W	e
{tableau kab 5}d	e	e	e	e	e	e	e	W	e	e	e	W	L	W	e	e	e	W	e	e	e	e
{tableau kab 5}e	e	e	e	e	e	e	e	e	e	W	e	W	L	e	e	e	e	e	e	e	W	e
{tableau kab 5}f	e	e	e	e	W	e	W	e	e	e	e	e	e	e	e	e	e	e	e	W	L	e
{tableau tuom 3}a	e	e	e	e	e	e	e	e	e	e	e	e	e	e	W	L	e	e	e	e	e	e
{tableau tuom 3}c	e	e	e	e	e	e	e	e	W	e	e	e	e	e	e	L	e	e	W	e	e	e
{tableau tuom 3}d	e	e	e	e	W	e	W	e	e	e	e	e	e	e	W	L	e	e	e	W	L	e
{tableau tuom 3}e	e	e	e	e	W	e	W	e	e	e	e	e	e	e	W	L	e	e	e	W	e	L
{tableau soro 1}a	W	e	L	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
{tableau soro 1}c	e	W	L	W	e	e	e	e	e	e	e	e	L	e	e	e	e	e	e	e	W	e
{tableau soro 2}a	e	e	W	e	e	e	e	e	e	e	e	L	e	e	e	e	e	e	e	e	L	e
{tableau soro 2}c	e	e	e	e	e	e	e	W	e	e	e	e	L	W	e	e	e	e	e	e	e	e
{tableau soro 3}a	e	e	e	e	e	e	L	e	e	e	e	e	e	e	e	e	e	e	e	L	W	e
{tableau soro 4}b	e	e	e	e	e	W	L	e	W	e	e	e	e	e	e	e	e	e	W	e	e	e
