	Hd(F)	*Copy(sig)	Hd(sig)	*Copy(seg)	*OralCoda	FtBin	*Place	Max(place)	Max	HavePlace	NoLink(place)
F-tib	W	e	L	e	e	e	e	e	e	e	e
F(tib)-tib	e	W	L	e	W	L	W	e	e	e	e
F()-tib	e	e	W	L	e	e	L	e	e	e	e
F(tib)-tib	e	e	e	e	W	L	W	e	e	e	e
F()()-tib	e	e	W	L	e	L	L	e	e	e	e
F()(tib)-tib	e	W	W	L	W	L	W	e	e	e	e
F(ti)-tib	e	e	e	e	e	e	W	e	e	L	e
F(ti)()-tib	e	e	W	e	e	L	W	e	e	L	e
F(ti)(ti)-tib	e	W	e	e	e	L	W	e	e	L	e
F(tii)-tib	e	e	e	W	e	L	W	e	e	L	e
F(i)-tib	e	e	e	e	e	e	e	e	W	L	e
F(Pi)()-tib	e	e	W	e	e	L	e	e	e	e	e
F(Pi)(Pi)-tib	e	W	e	e	e	L	e	e	e	W	e
F(Pii)-tib	e	e	e	W	e	L	e	e	e	e	e
F-pin	W	e	L	e	e	e	e	e	e	e	e
F(pin)-pin	e	W	L	e	e	L	W	e	e	e	e
F()-pin	e	e	W	L	e	W	L	e	e	e	e
F(pi)-pin	e	e	e	e	e	W	L	e	e	e	e
F()()-pin	e	e	W	L	e	e	L	e	e	e	e
F()(pin)-pin	e	W	W	L	e	e	e	e	e	e	e
F(pin)-pin	e	e	e	e	e	e	W	L	e	L	e
F(piN)-pin	e	e	e	e	e	e	W	L	e	L	e
F(pi)-pin	e	e	e	e	e	e	W	L	W	L	e
F(pim)-pin	e	e	e	e	e	e	W	L	e	L	W
F(PiN)-pin	e	e	e	e	e	e	e	e	e	W	L
F(Pi)-pin	e	e	e	e	e	e	e	e	W	e	L
F(iN)-pin	e	e	e	e	e	e	e	e	W	e	L
F(im)-pin	e	e	e	e	e	e	e	e	W	L	e
F-ku:Nut	W	e	L	e	e	e	e	e	e	e	e
F(ku:)-ku:Nut	e	W	L	e	e	L	W	e	e	e	e
F()-ku:Nut	e	e	W	L	e	W	L	e	e	e	e
F(ku:N)-ku:Nut	e	e	e	e	e	e	W	e	e	e	e
F()()-ku:Nut	e	e	W	L	e	e	L	e	e	e	e
F()(ku:)-ku:Nut	e	W	W	L	e	e	e	e	e	e	e
F(ku:)-ku:Nut	e	e	e	e	e	e	W	L	e	L	e
F(u:)-ku:Nut	e	e	e	e	e	e	e	e	W	L	e
											
											
